,stop_name,type,in_lines,location,identifier,previous_in_lines
0,"Ahrensfelde, Kirche",Autobus,['A 46'],"52.57532251281871, 13.576456279814597",nan,['41']+ 41
1,Alexanderplatz,u-bahn,"['E', 'A']","52.5214,13.4119",Q17173458,"['E', 'A', 'D']+ ['A I', 'D', 'E']+ ['D', 'E', 'A I']+ A I,D,A II,E+ A,E+ A,E+ ['A', 'E']+ ['E', 'A']+ ['A', 'E']+ ['E', 'A']+ E,A+ A,E+ A,E"
2,"Alexanderplatz, Grunerstrasse",Omnibus,['1'],,,
3,"Alexanderplatz, Grunerstrasse",strassenbahn,['71'],"52.52008326268696, 13.41408418961877",nan,"['73', '71', '72', '74']+ ['74', '22', '71', '72']+ 74,72,71,82,74E+ 71+ 71"
4,"Alexanderplatz, Leninallee",strassenbahn,"['69', '64']","52.522103158947594, 13.416511130432587",nan,64+ 64
5,"Alexanderplatz, Memhardstrasse",strassenbahn,"['22', '1', '11']","52.5233439,13.4110773","Q65227406+Q65227406, Q65227406","['1']+ ['63', '69', '11']+ 69,11,63,22+ 1, 63,11,72,74E,22,74+ 1+ 11,72,74E,82,22,74,63,69+ ['69']+ ['69']"
6,"Alexanderplatz, Memhardstrasse",strassenbahn,"['82', '74', '63', '71', '72']","52.5233439,13.4110773","Q65227406+Q65227406, Q65227406","['1']+ ['63', '69', '11']+ 69,11,63,22+ 1, 63,11,72,74E,22,74+ 1+ 11,72,74E,82,22,74,63,69+ ['69']+ ['69']"
7,"Alt-Biesdorf, Oberfelderstrasse",Autobus,['A 8'],,,
8,"Alt-Biesdorf, Oberfelderstrasse",Omnibus,['O 37'],,,
9,Alt-Friedrichsfelde/Am Tierpark,Autobus,"['A 43', 'A 8']",,,
10,Alt-Friedrichsfelde/Am Tierpark,Omnibus,['O 37'],,,
11,Alt-Friedrichsfele/Am Tierpark,strassenbahn,['69'],,,
12,"Alt-Karow, Bahnhofstrasse",Autobus,['A 42'],,,
13,"Alt-Marzahn, Kirche",Omnibus,['O 37'],,,
14,Alt-Schmöckwitz,Autobus,"['Schmöckwitz - Ziegenhals', 'Schmöckwitz - Eichwalde']","52.37536708814027, 13.649399886968025",nan,"Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf)"
