stop_name,type,line_name,stop_id,location,identifier
Stadtmitte (Mohrenstr.),u-bahn,A,196510_east,,
Frankfurter Allee (Ringbahn),u-bahn,E,196518_east,,
Adalbertstrasse Ecke Köpenickerstrasse,tram,1,196522_east,,
Invalidenstrasse Ecke Brunnenstrasse,tram,1,196528_east,,
Chausseestrasse Ecke Invalidenstrasse,tram,1,196529_east,,
Revalerstrasse (S-Bhf. Warschauer Strasse),tram,3,196534_east,,
Boxhagenerstrasse,tram,3,196536_east,,
Omnibus Bhf. Lichtenberger Strasse,tram,3,196540_east,,
Revalerstrasse (S-Bhf. Warschauer Strasse),tram,4,196546_east,,
Grünberger Strasse Ecke Warschauerstrasse,tram,4,196547_east,,
Eberswalder Strasse,tram,4,196555_east,,
Heinrich-Heine-Strasse Ecke Schmidstrasse,tram,11,196556_east,,
Clara-Zetkin-Strasse Ecke Friedrichstrasse,tram,11,196563_east,,
"Niederschönhausen, Idastrasse",tram,46P,1965101_east,,
Berlinerstrasse Ecke Hauptstrasse,tram,63,1965117_east,,
Berlinerstrasse Ecke Falkenbergerstrasse,tram,64,1965126_east,,
Brunnenstrasse Ecke Veteranenstrasse,tram,70,1965177_east,,
Chausseestrasse Ecke Invalidenstrasse,tram,70,1965178_east,,
Saarbrückerstrasse Ecke Prenzlauer Allee,tram,71,1965188_east,,
Bernkasteler Strasse Ecke Klement-Gottwald-Allee,tram,74 E,1965204_east,,
Klement-Gottwald-Allee Ecke Buschallee,tram,74 E,1965205_east,,
Buschallee Ecke Klement-Gottwald-Strasse,tram,74,1965215_east,,
Lichtenberger-Strasse Ecke Klement-Gottwald-Strasse,tram,74,1965216_east,,
Chausseestrasse Ecke Invalidenstrasse,tram,82,1965239_east,,
Betriebsstelle Köpenick,tram,83,1965244_east,,
Betriebsstelle Köpenick,tram,85,1965265_east,,
"Schöneiche, Dorfaue",tram,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)",1965317_east,,
Lutherstrasse Ecke Lindenstrasse,autobus,A22,1965375_east,,
Klement-Gottwald-Allee Ecke Pistoriusstrasse,autobus,A45,1965457_east,,
"Wilhelmsruh, Hauptstrasse",autobus,A55,1965489_east,,
Klement-Gottwald-Allee Ecke Pistoriusstrasse,autobus,A55,1965496_east,,
Klement-Gottwald-Allee Ecke Feldtmannstrasse,autobus,A55,1965499_east,,
"Weißensee, Piesporter Strasse",autobus,A55,1965500_east,,
"Prenzlauer Allee, Wichertstrasse",autobus,A56,1965507_east,,
Am Friedrichshain,autobus,A57,1965510_east,,
"Groß Ziethen, Friedrich-Ebert-Strasse",autobus,AZ,1965590_east,,
