,stop_id,stop_name,type,in_lines,location,identifier
0,19610,4. Ring,bus,A53,"52.42250630689789, 13.2869490566549",
1,19611,Adamstrasse,bus,"A34,A35","52.521029117218866, 13.19780699419913",
2,19612,Adlershof,s-bahn,"KBS 103,KBS 100a,KBS 106","52.434722222222,13.541388888889",Q323551
3,19613,Adolf-Scheidt-Platz,strassenbahn,96,"52.478194856980814, 13.37836902238447",
4,19614,Afrikanische Str.,u-bahn,C I,"52.560027777778,13.334633333333",Q559239
5,19615,Afrikanische Strasse,bus,A16,"52.54630154020319, 13.343855247543928",
6,19616,"Ahrensfeld, Kirche",bus,A46,"52.57532170199278, 13.576515606968998",
7,19617,Albertstrasse,strassenbahn,"73,74","52.48441764584102, 13.352842591071507",
8,19618,Alboinstrasse Ecke Arnulfstrasse,bus,A68,"52.455767812500675, 13.36990459867346",
9,19619,Albrechtshof,s-bahn,KBS 103,"52.5494,13.1283",Q800470
10,196110,Alexanderplatz,s-bahn,"KBS 101,KBS 103,KBS 102","52.521388888889,13.411944444444",Q111324700
11,196111,Alexanderplatz,u-bahn,"A,E","52.5214,13.4119",Q17173458
12,196112,"Alexanderplatz, Elisabethstrasse",strassenbahn,82,"52.5214867270211, 13.41819396874171",
13,196113,"Alexanderplatz, Grunerstrasse",strassenbahn,71,"52.52008326268696, 13.41408418961877",
14,196114,"Alexanderplatz, Leninallee",strassenbahn,64,"52.522103158947594, 13.416511130432587",
15,196115,"Alexanderplatz, Memhardstr.",strassenbahn,1,"52.5233439,13.4110773",Q65227406
16,196116,"Alexanderplatz, Memhardstr.",strassenbahn,"63,11,72,74E,22,74","52.5233439,13.4110773",Q65227406
17,196117,"Alt-Biesdorf, Oberfeldstrasse",bus,O37,"52.50918606891929, 13.553347058493491",
18,196118,"Alt-Biesdorf, Oberfeldstrasse",bus,"A8,A8E","52.50918606891929, 13.553347058493491",
19,196119,Alt-Buckow Ecke Buckower Damm,strassenbahn,27,"52.42365120067525, 13.436635949176258",
20,196120,Alt-Friedrichsfelde Ecke Am Tierpark,strassenbahn,69,"52.50914093654053, 13.518129930582422",
21,196121,Alt-Friedrichsfelde Ecke Am Tierpark,bus,"A43,O37,A8,A8E","52.5097025850849, 13.518832511815527",
22,196122,Alt-Heiligensee,bus,"A14,A13","52.60616921042186, 13.210646859320935",
23,196123,Alt-Kladow,bus,"A34,A35","52.454591413254434, 13.144488043956764",
24,196124,Alt-Mariendorf,bus,AS2,"52.44015553185248, 13.387328254903215",
25,196125,Alt-Mariendorf Ecke Tempelhofer Damm,bus,A76,"52.44016235770067, 13.387229967555644",
26,196126,Alt-Marienfelde,bus,A52,"52.413385082183694, 13.36338063003787",
27,196127,"Alt-Marzahn, Kirche",bus,O37,"52.542423454435976, 13.564061751343658",
28,196128,Alt-Moabit,bus,A24,"52.524078460891005, 13.357069143313803",
29,196129,Alt-Moabit Ecke Rathenower Strasse,strassenbahn,2,"52.52356,13.35779",Q121863902
30,196130,Alt-Reinickendorf Ecke Rödern Allee,bus,A72,"52.57586051212987, 13.347765981901512",
31,196131,Alt-Schmöckwitz,bus,"Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf)","52.37536708814027, 13.649399886968025",
32,196132,Alt-Schmöckwitz,strassenbahn,86,"52.3752767,13.649549",Q66459540
33,196133,Alt-Tempelhof Ecke Tempelhofer Damm,bus,"A77,A68,A76","52.465964306830664, 13.38558297633417",
34,196134,Alt-Wittenau,bus,"A62 ; A15,A21","52.58972877186178, 13.334169215342472 ;  52.59166508975595, 13.326326895395114",
35,196135,"Altglienicke, Am Falkenberg",strassenbahn,84,"52.41079970042163, 13.570452931545786",
36,196136,"Altglienicke, Kirche",bus,A23,"52.421845729296805, 13.539407702079252",
37,196137,Am Beelitzhof,bus,A3,"52.432202091928794, 13.186661564435827",
38,196138,Am Dachsbau,bus,A13,"52.60655284387061, 13.22984370797522",
39,196139,Am Fließ,bus,A15,"52.6034575714732, 13.289613652822638",
40,196140,Am Grossen Wannsee,bus,"A6,A51,A18","52.420496581432594, 13.167192967572669",
41,196141,Am Großen Wannsee Ecke Königstrasse,bus,A3,"52.420496581432594, 13.167192967572669",
42,196142,Am Karlsbad,bus,A75,"52.505510534075455, 13.36801582264215",
43,196143,Am Kupfergraben,strassenbahn,"46,70,1","52.5194208,13.3953839",Q65055027
44,196144,Am Nordhafen,bus,A70,"52.53868315849872, 13.363248409190426",
45,196145,Am Oberhafen,bus,A67,"52.465017297775326, 13.450594183790596",
46,196146,Am Rosenhag,bus,"A44,A44E","52.52474356253909, 13.621775828105108",
47,196147,Am Steinberg,bus,"A55,A42,A45","52.55648144940878, 13.429306764151775",
48,196148,Am Steinberg,strassenbahn,71,"52.5585796,13.4333751",Q65103320
49,196149,Am Treptower Park Ecke Elsenstrasse,strassenbahn,87,"52.4917648672198, 13.457703881892664",
50,196150,Am Vierrutenbert,bus,A20,"52.613698620824124, 13.344231823340426",
51,196151,Am Volkspark,bus,A60,"52.483222065143515, 13.32036833862448",
52,196152,Amtsgerichsplatz,bus,A10,"52.50685665976427, 13.295057483522156",
53,196153,Amtsgericht,strassenbahn,"75,76","52.50682617853116, 13.297391449613752",
54,196154,Amtsgericht Charlottenburg,bus,A21,"52.50571853839105, 13.295347400894903",
55,196155,Andreasstrasse,bus,O30,"52.51797306914227, 13.432895480772247",
56,196156,Andreezeile,bus,A66,"52.41046140348477, 13.267143098688617",
57,196157,Anhalter Bahnhof,s-bahn,"KBS 104,KBS 105,KBS 106","52.503055555556,13.381944444444",Q111324573
58,196158,Antonplatz,strassenbahn,"3,70,72,74E,74","52.5484803,13.4517416",Q65548849
59,196159,Apoldaer Strasse Ecke Sonderhauser Strasse,bus,A11,"52.41944943945407, 13.342640667996188",
60,196160,Arnimallee,bus,A68,"52.45789378609326, 13.299570204130864",
61,196161,Aroser Allee,bus,"A61,A14","52.57376245122369, 13.351970705456408",
62,196162,Askanierring,bus,"A34 ; A35,A63","52.54891706140618, 13.193495587303872 ;   52.545679974269035, 13.194267325495874",
63,196163,Askanischer Platz,bus,"A29,A75,A24","52.50447897041404, 13.382295467838158",
64,196164,Attilaplatz,bus,"A25,AS2,A68","52.45590179888225, 13.376512495751076",
65,196165,Attilaplatz,strassenbahn,96,"52.455498340147045, 13.375619638525905",
66,196166,Augsburger Str.,u-bahn,"A II,B II","52.500556,13.336389",Q667035
67,196167,Auguste-Viktoria-Allee,bus,A62,"52.569268504658915, 13.329801350092811",
68,196168,Augustenburger Platz,bus,A64,"52.542186362228115, 13.34942313975666",
69,196169,BSC-Sportplatz,bus,A29,"52.48590335523557, 13.284366733504768",
70,196170,Babelsberg,s-bahn,KBS 102,"52.3914,13.0928",Q801326
71,196171,Badstrasse,bus,A70,"52.55228040855936, 13.381394276023574",
72,196172,Badstrasse/Prinzenallee,bus,A71,"52.55231378388406, 13.381413167559051",
73,196173,Baerwaldstrasse Ecke Urbanstrasse,strassenbahn,95,"52.493899843231475, 13.403460093532933",
74,196174,Bahnhof Friedrichstr. (Stadtbahn),u-bahn,C I,"52.520111111111,13.388305555556",Q3753274
75,196175,Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,E,"52.510556,13.496389",Q3831986
76,196176,Bahnhof Wedding,u-bahn,C I,"52.5425,13.366111",Q4018733
77,196177,Bahnhofstrasse,strassenbahn,47,"52.40244986860125, 13.512704137216817",
